text,rat,date
게임을 항상 재미있게 플레이하고 있는 유저입니다. 게임을 플레이하다보면 습격을 끝내고 대기화명으로 돌아오는길에 멈추는 현상이 너무 자주 발생합니다. 원인이 무엇인지 해결방안은 또 무엇인지 알려주시면 감사하겠습니다.,3,2022년 3월 19일
운영자님 이건 진짜 현질하게 끔 유도한거임 난이도가 왜이렇게 어려움? 처음 하는사람들은 게임하지 말라는거임?? 너무 어렵게 많들어놨고 게임 클리어하면 돈도 그렇게 많이 보상도 못받고 게임좀 그렇네여 다른사람들도 좀 즐겁게 오래하게 끔 유도할거면 게임을 조금 쉽게 만들던가 스테이지도 몇번 못갔는데 벌써부터 막히는게 말이되나여...,1,2022년 3월 17일
"이런 게임류가 다 그렇듯 시간을 투자해야함. 2-10 스테부터 막힌다고하는데 대부분 2-6정도까지만 깨고 3 6, 4 6 이런식으로 앞에걸 뚫음. 그렇게 천천히 시간 좀 투자해서 돈 벌고 강화하고 아레나함. 시간 간간히 때울겸 겜하면 잼다고 생각함.",5,2022년 3월 18일
"재미있게 하고있는데요. 현재 2022년 3월 19일 토요일 기준으로, 스테이지를 클리어하고 보상받고 메인화면으로 나가면 게임이 멈춰버리는 버그가 있내요 ㅎㅎ. 빠른시일내에 고쳐주길 바랍니당",5,2022년 3월 18일
"초창기에 도트컨셉 디펜스 재밌었죠. 결국 시간이 지나가고 흥미가 점점 떨어지기 마련이라, 컨텐츠에 비해 빨아먹는 돈이 많음. 청아스킨 시즌 마지막 5일남았을때부터 오늘까지 플레이 해온 제 지극히 개인적인 의견입니다. 그동안 재밌었는데 결국 드는 생각은 '그냥 돈 쓰지말걸' 이였단거",2,2022년 3월 14일
킹갓캐슬을 정말 잘 즐기고있고 현질도 가끔씩하는 유저인데 분명 왕의 증표 패키지를 구매했는데 오류가 뜨면서 구매가 되지않고 돈만 빠져나갔습니다 그래서 한번 더 구매를 했는데 또 돈만 빠져나가고 구매가 되지않았습니다...ㅜㅜ 하나에 5900원인데 두번 다 돈을 날린 상황입니다..돈을 다시 돌려받았으면 합니다,5,2022년 3월 11일
현질 없이도 충분히 챕터9까지 클리어 가능합니다(10은 아직 안해봄).굳이 현질 안해도 충분히 쉬운 가볍게 즐길 수 있는 게임이라고 생각합니다.근데 문제는 제발...제발 UI좀 그만 바꿔요 ㅠㅠ 솔직히 바꿔서 좋으면 뭐라 안하는데 더 안좋게 바꾸면 어쩌자는 거에요...아무튼 게임자체는 재미있습니다.,3,2022년 3월 16일
플레이 한달째인데 뭔 게임이 업데이트 할때마다 로딩버그가 생겨요. 워낙 다채롭게 버그가 결려서 어떻게 해야 버그 피해가면서 게임할지 감도 안잡히네요.,1,2022년 3월 18일
"무과금 진행안된다는 사람들은 기본적으로 반복플레이 게임자체를 이해못하던가 흥미가 없는 사람임 무과금으로 진행해도 하루 세판 식량40개씩 쓰면서하면 골드 렙업되면서 신전뚫고 스펙업하고 경험치북으로 영웅업하고 매일 미션으로 보석찔끔모아서 상점에서 보석149개 원하는 영웅 뜰때 사면됨 물론 골드가 신전, 영웅업 병행하면 딸리지만 애초에 막힘없이 진행을 원하는것 자체가 반복플레이 하기 싫다는 겁니다 이 게임은 무과금이 충분히 즐길 수 있으니 자기 게임 플레이성향자체가 반복플레이에 적합한지 따져보고 하시길바랍니다",5,2022년 3월 19일
예전보다 광고가 길어지고 킹갓패스 매달 끊어도 광보 시간 날리는건 똑같고 상술 적당히 해야지 어휴 킹갓패스 차라리 혜택 전부 빼고 광고만 스킵하게 해주던가 고기부족하면광고보고 또보고 광고보고 부활이라도 광보보면부확 고정으로 나오게 만들어야지 중간중간 보석쓰게 만들고 더러운 상술 너무부림,3,2022년 3월 19일
